id,service_id,movie_id,link,created_at,updated_at,access_type
47,1,39,https://www.netflix.com/title/80091741/,2024-12-13 11:53:12 UTC,2024-12-13 11:53:12 UTC,subscription
48,1,40,https://www.netflix.com/title/81464765/,2024-12-13 11:53:12 UTC,2024-12-13 11:53:12 UTC,subscription
49,1,41,https://www.netflix.com/title/81033429/,2024-12-13 11:53:13 UTC,2024-12-13 11:53:13 UTC,subscription
50,1,42,https://www.netflix.com/title/81553471/,2024-12-13 11:53:13 UTC,2024-12-13 11:53:13 UTC,subscription
51,1,43,https://www.netflix.com/title/81261846/,2024-12-13 11:53:13 UTC,2024-12-13 11:53:13 UTC,subscription
52,1,44,https://www.netflix.com/title/81512222/,2024-12-13 11:53:13 UTC,2024-12-13 11:53:13 UTC,subscription
53,1,45,https://www.netflix.com/title/81466193/,2024-12-13 11:53:13 UTC,2024-12-13 11:53:13 UTC,subscription
54,1,46,https://www.netflix.com/title/80214497/,2024-12-13 11:53:13 UTC,2024-12-13 11:53:13 UTC,subscription
55,1,47,https://www.netflix.com/title/81651185/,2024-12-13 11:53:13 UTC,2024-12-13 11:53:13 UTC,subscription
56,2,48,https://tv.apple.com/fr/movie/1917/umc.cmc.6obl95cblvxp3q916q1t66w66,2024-12-13 11:53:13 UTC,2024-12-17 16:08:56 UTC,buy
57,3,48,https://www.primevideo.com/detail/0U84R3LW1FBY2MFYMSASEJCHEI/ref=atv_dp,2024-12-13 11:53:13 UTC,2024-12-13 11:53:13 UTC,buy
58,1,48,https://www.netflix.com/title/81140931/,2024-12-13 11:53:13 UTC,2024-12-13 11:53:13 UTC,subscription
59,1,49,https://www.netflix.com/title/80135164/,2024-12-13 11:53:13 UTC,2024-12-13 11:53:13 UTC,subscription
60,1,50,https://www.netflix.com/title/81382060/,2024-12-13 11:53:13 UTC,2024-12-13 11:53:13 UTC,subscription
61,1,51,https://www.netflix.com/title/81411159/,2024-12-13 11:53:13 UTC,2024-12-13 11:53:13 UTC,subscription
62,1,52,https://www.netflix.com/title/80205593/,2024-12-13 11:53:13 UTC,2024-12-13 11:53:13 UTC,subscription
63,1,53,https://www.netflix.com/title/80134109/,2024-12-13 11:53:13 UTC,2024-12-13 11:53:13 UTC,subscription
64,2,55,https://tv.apple.com/fr/movie/2-fast-2-furious/umc.cmc.29d5x38uzx9coflpzk8p5fja4,2024-12-13 11:53:13 UTC,2024-12-17 16:08:56 UTC,buy
