id,movie_id,playlist_id,created_at,updated_at
1,68,2,2024-12-18 03:22:28 UTC,2024-12-18 03:22:28 UTC
2,62,4,2024-12-18 15:08:23 UTC,2024-12-18 15:08:23 UTC
